"institute","proj","exper","field","plot","rep","app.start","sub.period","file","treat","meas.tech","meas.tech.det","rep2","cpmid","pub.id","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","soil.samp.z","inst","pid","pmid","eid"
"AU","NUGA","18E","Semi-field","1","1",2018-05-01 13:08:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","D-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:1.T:D-CM.R:1.R2:.T:2018-05-01 13:08:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","Anaerobic digestion",NA,NA,6.28,NA,4.2,2.6,NA,NA,1.3,7.73,2018-05-01 13:08:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,".",5,NA,"01-05-2018 13:08","01-05-2018 13:08","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:1.T:D-CM.R:1.R2:.T:2018-05-01 13:08:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",130,NA,1.24,2.68,6.69,12.9,28.4,35.3,40.1,NA,47.3,47.3,NA,1.24,2.68,6.69,12.9,28.4,35.3,40.1,NA,47.3,47.3,NA,0.00952,0.0206,0.0514,0.0994,0.218,0.271,0.309,NA,0.364,0.364,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,360,89,1.58,0,0,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2356,2360,398
"AU","NUGA","18E","Semi-field","2","1",2018-05-01 13:16:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","D-CM-CC","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:2.T:D-CM-CC.R:1.R2:.T:2018-05-01 13:16:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","Anaerobic digestion",NA,NA,5.7,NA,2.5,1.3,NA,NA,0.15,7.21,2018-05-01 13:16:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,6,NA,"01-05-2018 13:16","01-05-2018 13:16","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:2.T:D-CM-CC.R:1.R2:.T:2018-05-01 13:16:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",65,NA,0.221,0.423,1.04,1.85,3.42,4.06,4.62,NA,5.77,5.77,NA,0.221,0.423,1.04,1.85,3.42,4.06,4.62,NA,5.77,5.77,NA,0.0034,0.00651,0.016,0.0284,0.0525,0.0624,0.0711,NA,0.0888,0.0888,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,93,89,1.58,0,0,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2357,2361,398
"AU","NUGA","18E","Semi-field","3","2",2018-05-01 13:32:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","D-CM-CC","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:3.T:D-CM-CC.R:2.R2:.T:2018-05-01 13:32:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","Anaerobic digestion",NA,NA,5.7,NA,2.5,1.3,NA,NA,0.15,7.21,2018-05-01 13:32:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,7,NA,"01-05-2018 13:32","01-05-2018 13:32","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:3.T:D-CM-CC.R:2.R2:.T:2018-05-01 13:32:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",65,NA,0.386,0.707,1.52,2.44,4.02,4.61,5.13,NA,6.19,6.19,NA,0.386,0.707,1.52,2.44,4.02,4.61,5.13,NA,6.19,6.19,NA,0.00593,0.0109,0.0235,0.0376,0.0618,0.0709,0.079,NA,0.0952,0.0952,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,182,89,1.58,4.99e-05,0.00324,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2358,2362,398
"AU","NUGA","18E","Semi-field","4","1",2018-05-01 13:40:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","U-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:4.T:U-CM.R:1.R2:.T:2018-05-01 13:40:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,8.53,NA,4.2,2,NA,NA,12,7.13,2018-05-01 13:40:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,8,NA,"01-05-2018 13:40","01-05-2018 13:40","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:4.T:U-CM.R:1.R2:.T:2018-05-01 13:40:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",100,NA,1.86,3.21,6.78,12.7,24.3,27.5,29.8,NA,33.5,33.5,NA,1.86,3.21,6.78,12.7,24.3,27.5,29.8,NA,33.5,33.5,NA,0.0186,0.0321,0.0678,0.127,0.243,0.275,0.298,NA,0.335,0.335,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,627,89,1.58,-0.000376,-0.0376,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2359,2363,398
"AU","NUGA","18E","Semi-field","5","2",2018-05-01 13:48:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","D-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:5.T:D-CM.R:2.R2:.T:2018-05-01 13:48:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","Anaerobic digestion",NA,NA,6.28,NA,4.2,2.6,NA,NA,1.3,7.73,2018-05-01 13:48:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,9,NA,"01-05-2018 13:48","01-05-2018 13:48","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:5.T:D-CM.R:2.R2:.T:2018-05-01 13:48:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",130,NA,3.05,4.51,8,12.8,21.1,24.1,26.4,NA,29.7,29.7,NA,3.05,4.51,8,12.8,21.1,24.1,26.4,NA,29.7,29.7,NA,0.0235,0.0347,0.0615,0.0985,0.162,0.186,0.203,NA,0.228,0.228,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,449,89,1.58,0.00456,0.593,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2360,2364,398
"AU","NUGA","18E","Semi-field","6","2",2018-05-01 14:04:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","U-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:6.T:U-CM.R:2.R2:.T:2018-05-01 14:04:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,8.53,NA,4.2,2,NA,NA,12,7.13,2018-05-01 14:04:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,10,NA,"01-05-2018 14:04","01-05-2018 14:04","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:6.T:U-CM.R:2.R2:.T:2018-05-01 14:04:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",100,NA,3.87,6.14,11.9,20.8,39,43.7,46.9,NA,52.4,52.4,NA,3.87,6.14,11.9,20.8,39,43.7,46.9,NA,52.4,52.4,NA,0.0387,0.0614,0.119,0.208,0.39,0.437,0.469,NA,0.524,0.524,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628,716,89,1.58,0.00423,0.423,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2361,2365,398
"AU","NUGA","18E","Semi-field","7","3",2018-05-01 14:12:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","D-CM-CC","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:7.T:D-CM-CC.R:3.R2:.T:2018-05-01 14:12:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","Anaerobic digestion",NA,NA,5.7,NA,2.5,1.3,NA,NA,0.15,7.21,2018-05-01 14:12:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,11,NA,"01-05-2018 14:12","01-05-2018 14:12","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:7.T:D-CM-CC.R:3.R2:.T:2018-05-01 14:12:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",65,NA,0.559,0.975,2.01,3.53,5.88,6.6,7.19,NA,8.32,8.32,NA,0.559,0.975,2.01,3.53,5.88,6.6,7.19,NA,8.32,8.32,NA,0.0086,0.015,0.0309,0.0542,0.0905,0.102,0.111,NA,0.128,0.128,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,271,89,1.58,0.000254,0.0165,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2362,2366,398
"AU","NUGA","18E","Semi-field","8","3",2018-05-01 14:20:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","D-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:8.T:D-CM.R:3.R2:.T:2018-05-01 14:20:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","Anaerobic digestion",NA,NA,6.28,NA,4.2,2.6,NA,NA,1.3,7.73,2018-05-01 14:20:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,12,NA,"01-05-2018 14:20","01-05-2018 14:20","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:8.T:D-CM.R:3.R2:.T:2018-05-01 14:20:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",130,NA,4.61,7.05,13.1,22.6,40.7,47.4,52.3,NA,59.6,59.6,NA,4.61,7.05,13.1,22.6,40.7,47.4,52.3,NA,59.6,59.6,NA,0.0355,0.0542,0.1,0.174,0.313,0.365,0.402,NA,0.459,0.459,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,538,89,1.58,0.00529,0.687,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2363,2367,398
"AU","NUGA","18E","Semi-field","9","3",2018-05-01 14:36:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","U-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:9.T:U-CM.R:3.R2:.T:2018-05-01 14:36:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,8.53,NA,4.2,2,NA,NA,12,7.13,2018-05-01 14:36:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",21,NA,NA,NA,13,NA,"01-05-2018 14:36","01-05-2018 14:36","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18E.F:Semi-field.P:9.T:U-CM.R:3.R2:.T:2018-05-01 14:36:00","D:1.I:AU.Pr:NUGA.E:18E","","Pedersen, Johanna",100,NA,1.78,2.99,6.08,11.6,23.3,26.4,28.3,NA,31.9,31.9,NA,1.78,2.99,6.08,11.6,23.3,26.4,28.3,NA,31.9,31.9,NA,0.0178,0.0299,0.0608,0.116,0.233,0.264,0.283,NA,0.319,0.319,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,805,89,1.58,0.000847,0.0847,1.58,1.58,1.58,141,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2364,2368,398
"AU","NUGA","18F","Semi-field","1","1",2018-05-08 11:08:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx","U-CM","Wind tunnel",NA,NA,"D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18F.F:Semi-field.P:1.T:U-CM.R:1.R2:.T:2018-05-08 11:08:00.M:Wind tunnelNA","a",0.2,56.5,9.58,"DK","Flat",4,NA,NA,NA,NA,0.09,NA,NA,4.6,1.4,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,8.53,NA,4.2,2,NA,NA,12,7.13,2018-05-08 11:08:00,"bsth",50,"t/ha","none",NA,NA,NA,NA,NA,"cereal",25,NA,NA,NA,14,NA,"08-05-2018 11:08","08-05-2018 11:08","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx.E:18F.F:Semi-field.P:1.T:U-CM.R:1.R2:.T:2018-05-08 11:08:00","D:1.I:AU.Pr:NUGA.E:18F","","Pedersen, Johanna",100,NA,2.43,3.96,7.66,11.8,14.6,15.3,15.6,NA,16.4,16.4,NA,2.43,3.96,7.66,11.8,14.6,15.3,15.6,NA,16.4,16.4,NA,0.0243,0.0396,0.0766,0.118,0.146,0.153,0.156,NA,0.164,0.164,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270,1350,78,1.82,0.0043,0.43,1.82,1.82,1.82,142,NA,NA,NA,NA,0.25,NA,NA,"Lemes, Y. M., Nyord, T., Feilberg, A., Hafner, S. D., Pedersen, J. 2023. Effect of anaerobic digestion on odor and ammonia emission from land-applied cattle manure. Journal of Environmental Management 338, 117815. 10.1016/j.jenvman.2023.117815",NA,NA,FALSE,"Wind tunnel","wt","Cereal","Cattle","Band spread or trailing hose","bsth","None",NA,"",NA,205,2365,2369,399
